Correct,Wrong,Tie,Percent,week
7,8,1,0.4375,1
6,9,1,0.375,1
7,8,1,0.4375,1
9,6,1,0.5625,1
7,8,1,0.4375,1
9,6,1,0.5625,1
10,5,1,0.625,1
11,4,1,0.6875,1
10,6,0,0.625,2
7,9,0,0.4375,2
11,5,0,0.6875,2
11,5,0,0.6875,2
9,7,0,0.5625,2
9,7,0,0.5625,2
9,7,0,0.5625,2
8,8,0,0.5,2
7,9,0,0.4375,3
6,10,0,0.375,3
8,8,0,0.5,3
8,8,0,0.5,3
4,12,0,0.25,3
6,10,0,0.375,3
9,7,0,0.5625,3
8,8,0,0.5,3
9,7,0,0.5625,4
10,6,0,0.625,4
5,11,0,0.3125,4
13,3,0,0.8125,4
12,4,0,0.75,4
9,7,0,0.5625,4
10,6,0,0.625,4
11,5,0,0.6875,4
10,6,0,0.625,5
10,6,0,0.625,5
9,7,0,0.5625,5
10,6,0,0.625,5
10,6,0,0.625,5
12,4,0,0.75,5
10,6,0,0.625,5
10,6,0,0.625,5
