Record,Correct,Wrong,Percent,week
7-8,7,8,0.4666666666666667,1
8-7,8,7,0.5333333333333333,1
10-5,10,5,0.6666666666666666,1
7-8,7,8,0.4666666666666667,1
9-6,9,6,0.6,1
8-7,8,7,0.5333333333333333,1
7-8,7,8,0.4666666666666667,1
9-6,9,6,0.6,1
6-9,6,9,0.4,1
8-8,8,8,0.5,2
9-7,9,7,0.5625,2
10-6,10,6,0.625,2
9-7,9,7,0.5625,2
12-4,12,4,0.75,2
9-7,9,7,0.5625,2
10-6,10,6,0.625,2
6-9,6,9,0.4,2
8-8,8,8,0.5,2
8-8,8,8,0.5,3
8-8,8,8,0.5,3
9-7,9,7,0.5625,3
9-7,9,7,0.5625,3
7-9,7,9,0.4375,3
10-6,10,6,0.625,3
8-8,8,8,0.5,3
8-8,8,8,0.5,3
7-9,7,9,0.4375,3
9-7,9,7,0.5625,4
12-4,12,4,0.75,4
10-6,10,6,0.625,4
11-5,11,5,0.6875,4
9-7,9,7,0.5625,4
9-7,9,7,0.5625,4
9-7,9,7,0.5625,4
10-6,10,6,0.625,4
11-5,11,5,0.6875,5
10-6,10,6,0.625,5
9-7,9,7,0.5625,5
10-6,10,6,0.625,5
11-5,11,5,0.6875,5
9-7,9,7,0.5625,5
11-5,11,5,0.6875,5
11-5,11,5,0.6875,5
0-1,0,1,0,6
7-7,7,7,0.5,6
5-9,5,9,0.35714285714285715,6
8-6,8,6,0.5714285714285714,6
5-9,5,9,0.35714285714285715,6
7-7,7,7,0.5,6
8-6,8,6,0.5714285714285714,6
9-5,9,5,0.6428571428571429,6
