team,odds,week
Dolphins,158,4
Bengals,-190,4
Vikings,-140,4
Saints,118,4
Bills,-190,4
Ravens,158,4
Bears,150,4
Giants,-178,4
Seahawks,210,4
Lions,-260,4
Browns,-125,4
Falcons,105,4
Chargers,-240,4
Texans,196,4
Jaguars,228,4
Eagles,-285,4
Jets,158,4
Steelers,-190,4
Titans,150,4
Colts,-178,4
Commanders,140,4
Cowboys,-165,4
Cardinals,100,4
Panthers,-120,4
Patriots,400,4
Packers,-550,4
Broncos,110,4
Raiders,-130,4
Chiefs,-140,4
Buccaneers,118,4
Rams,115,4
49ers,-135,4
Colts,NA,4
Giants,NA,4
Bears,NA,4
Falcons,NA,4
