team,odds,week
Bills,-135,1
Rams,115,1
Ravens,-320,1
Jets,250,1
Colts,-345,1
Texans,270,1
Browns,-110,1
Panthers,-110,1
Jaguars,115,1
Commanders,-135,1
Steelers,228,1
Bengals,-285,1
Patriots,158,1
Dolphins,-190,1
Saints,-235,1
Falcons,192,1
49ers,-305,1
Bears,240,1
Eagles,-205,1
Lions,170,1
Packers,-125,1
Vikings,105,1
Raiders,150,1
Chargers,-178,1
Giants,205,1
Titans,-250,1
Chiefs,-250,1
Cardinals,205,1
Buccaneers,-145,1
Cowboys,122,1
Broncos,-278,1
Seahawks,222,1
Chargers,140,1
Chiefs,-165,1
Dolphins,162,1
Ravens,-195,1
Colts,-205,1
Jaguars,170,1
Panthers,-105,1
Giants,-115,1
